Id,Source,Nucleotide Accession,Start,Stop,Strand,Protein,Protein Name,Organism,Strain,Assembly,len
19620159,INSDC,GU943037.1,18197,19018,-,ADD94670.1,hypothetical protein,uncultured phage MedDCM-OCT-S08-C582,,GCA_003440475.1,822
203474028,INSDC,DMHR01001325.1,579,1394,-,HAI44385.1,hypothetical protein,Maribacter sp.,,GCA_003450275.1,816
242884963,RefSeq,NZ_SPVJ01000072.1,12392,13207,-,WP_167768321.1,hypothetical protein,Bradyrhizobium sp. MOS001,MOS001,GCF_004634465.1,816
321600309,INSDC,LR796738.1,66946,67761,+,CAB4162684.1,hypothetical protein,uncultured Caudovirales phage,,GCA_902988825.1,816
179437708,INSDC,NZGU01000021.1,21068,21883,+,MAI20439.1,hypothetical protein,Kiritimatiellaceae bacterium,,GCA_002691095.1,816
321582164,INSDC,LR796401.1,2,820,+,CAB4141771.1,"COG5377 Phage-related protein, predicted endonuclease",uncultured Caudovirales phage,,GCA_902985585.1,819
929653547,INSDC,JBDRQX010000418.1,1,757,+,MFH2076114.1,PD-(D/E)XK nuclease-like domain-containing protein,Pseudomonadota bacterium,,GCA_043826045.1,757
302694457,INSDC,DRKF01000191.1,7137,7946,+,HEC09120.1,PD-(D/E)XK nuclease family protein,Acidimicrobiales bacterium,,GCA_011051915.1,810
179948251,INSDC,NZYO01000025.1,2892,3689,-,MAR82057.1,hypothetical protein,Gammaproteobacteria bacterium,,GCA_002702235.1,798
267910569,INSDC,SSGX01000010.1,4722,5519,-,TXI93627.1,hypothetical protein,Neisseriales bacterium,,GCA_008017155.1,798
206013245,INSDC,DNNM01000223.1,7014,7814,-,HBC98001.1,hypothetical protein,Clostridium sp.,,GCA_003497125.1,801
321590041,INSDC,LR796541.1,27287,28084,-,CAB4150423.1,PD-(D/E)XK nuclease superfamily,uncultured Caudovirales phage,,GCA_902986975.1,798
321591283,INSDC,LR796571.1,8727,9524,-,CAB4151336.1,PD-(D/E)XK nuclease superfamily,uncultured Caudovirales phage,,GCA_902987285.1,798
465072648,INSDC,BK022672.1,31236,32033,-,DAN40093.1,PD-(D/E)XK nuclease superfamily protein,Caudoviricetes sp.,,,798
424420312,INSDC,JAGCBE010000368.1,5907,6716,+,MBO7695025.1,PD-(D/E)XK nuclease-like domain-containing protein,Methanobrevibacter sp.,,GCA_017652345.1,810
13488503,RefSeq,NC_009760.1,112502,113311,+,YP_001429681.1,RecB,Bacillus phage 0305phi8-36,,GCF_000871045.1,810
151701010,INSDC,NHCW01000174.1,10814,11638,+,OUX82263.1,hypothetical protein,Pseudoalteromonas sp. TMED43,,GCA_002173015.1,825
301734191,RefSeq,NZ_JAAKGO010000015.1,41413,42234,-,WP_165321158.1,PD-(D/E)XK nuclease-like domain-containing protein,Sphingobacterium sp. SGG-5,SGG-5,GCF_011043525.1,822
840658855,INSDC,JAWCPQ010000087.1,1458,2282,+,MEM7828303.1,hypothetical protein,Candidatus Aenigmatarchaeota archaeon,,GCA_039090655.1,825
5866057,RefSeq,NC_009464.1,3110477,3111325,+,WP_012037339.1,PD-(D/E)XK nuclease family protein,Methanocella arvoryzae MRE50,MRE50,GCF_000063445.1,849
169541219,RefSeq,NC_042353.1,37926,38771,+,YP_009639659.1,RecE-like recombination exonuclease,Salinibacter phage SRUTV-1,,GCF_003329385.1,846
219312590,INSDC,RKQZ01000001.1,1139302,1140147,-,RPF20378.1,PD-(D/E)XK nuclease superfamily protein,Myceligenerans xiligouense,DSM 15700,GCA_003814695.1,846
321618971,INSDC,LR797105.1,1490,2332,+,CAB4187269.1,PD-(D/E)XK nuclease superfamily,uncultured Caudovirales phage,,GCA_902992665.1,843
210701257,INSDC,QZIJ01000144.1,12706,13548,+,RJP46518.1,PD-(D/E)XK nuclease family protein,Anaerolineaceae bacterium,,GCA_003598975.1,843
321567928,INSDC,LR796205.1,2897,3739,+,CAB4126508.1,"COG5377 Phage-related protein, predicted endonuclease",uncultured Caudovirales phage,,GCA_902983635.1,843
321582729,INSDC,LR796415.1,5632,6474,+,CAB4142439.1,hypothetical protein,uncultured Caudovirales phage,,GCA_902985765.1,843
264069301,RefSeq,NZ_JQCB01000003.1,185402,186256,+,WP_162260727.1,PD-(D/E)XK nuclease-like domain-containing protein,Furfurilactobacillus siliginis,DSM 22696,GCF_001437435.1,855
321570557,INSDC,LR796235.1,98014,98868,+,CAB4129707.1,hypothetical protein,uncultured Caudovirales phage,,GCA_902983925.1,855
107205930,RefSeq,NZ_CP011272.1,1043308,1044165,+,WP_146675595.1,PD-(D/E)XK nuclease-like domain-containing protein,Pirellula sp. SH-Sr6A,SH-Sr6A,GCF_001610875.1,858
44798253,RefSeq,NC_022751.1,14627,15487,+,YP_008766981.1,Cas4-domain exonuclease,Cyanophage PP,,GCF_000913755.1,861
167113574,INSDC,PBIO01000022.1,16197,17045,-,MBK25900.1,hypothetical protein,Halobacteriovorax sp.,,GCA_002720865.1,849
281262340,INSDC,WLEH01000100.1,4126,4974,-,MTA41046.1,hypothetical protein,Actinomycetota bacterium,,GCA_009704345.1,849
424380430,INSDC,JAGCAI010000328.1,12589,13440,+,MBO7733762.1,hypothetical protein,Methanobrevibacter sp.,,GCA_017652815.1,852
322938853,INSDC,JABDQT010000164.1,18,869,+,NNJ70624.1,hypothetical protein,Kiritimatiellales bacterium,,GCA_013042165.1,852
170434778,RefSeq,NC_048684.1,32940,33779,-,YP_009836036.1,exonuclease/helicase,Streptomyces phage WRightOn,,GCF_002957435.1,840
130944487,RefSeq,NZ_FQZU01000072.1,3032,3859,+,WP_073479153.1,PD-(D/E)XK nuclease family protein,Desulfatibacillum alkenivorans DSM 16219,DSM 16219,GCF_900142135.1,828
179471217,RefSeq,NZ_DFLS01000009.1,28354,29178,-,WP_292403067.1,YqaJ viral recombinase family protein,Methylophaga sp. UBA3613,,GCF_002375415.1,825
179137939,INSDC,NZZC01000172.1,13029,13853,+,MAR68792.1,hypothetical protein,Crocinitomicaceae bacterium,,GCA_002702365.1,825
141712950,INSDC,MWDR01000170.1,1180,2010,-,OQB76582.1,hypothetical protein,Planctomycetes bacterium ADurb.Bin126,,GCA_002071695.1,831
306939334,INSDC,DSAK01000188.1,1079,1909,+,HHO42818.1,hypothetical protein,Campylobacterota bacterium,,GCA_011372825.1,831
832441534,INSDC,JAYNLF010000336.1,1572,2411,+,MEK9824313.1,PD-(D/E)XK nuclease-like domain-containing protein,Gammaproteobacteria bacterium,,GCA_038111565.1,840
237439072,INSDC,MK500570.1,1,823,+,QBK92238.1,YqaJ-like recombinase,Pithovirus LCPAC304,,,823
261534869,INSDC,MK892838.1,13158,13979,+,QDP66870.1,hypothetical protein,Prokaryotic dsDNA virus sp.,,GCA_009658835.1,822
271257051,RefSeq,NZ_CP043624.1,463797,464618,+,WP_149596277.1,PD-(D/E)XK nuclease-like domain-containing protein,Glutamicibacter sp. ZJUTW,ZJUTW,GCF_008370855.1,822
261521570,INSDC,MK892597.1,21940,22764,-,QDP52188.1,putative exodeoxyribonuclease 8,Prokaryotic dsDNA virus sp.,,GCA_009654015.1,825
261523839,INSDC,MK892641.1,17985,18809,+,QDP54717.1,putative exodeoxyribonuclease 8,Prokaryotic dsDNA virus sp.,,GCA_009654895.1,825
42550761,RefSeq,NC_022096.1,137438,138262,-,YP_008433512.1,HNH endonuclease,Pseudomonas phage PaBG,,GCF_000912555.1,825
172576772,INSDC,PGYA01000059.1,19058,19894,+,PKL46189.1,hypothetical protein,Candidatus Riflebacteria bacterium HGW-Riflebacteria-2,,GCA_002839435.1,837
13725066,RefSeq,NC_009803.1,4066,4902,-,YP_001467862.1,RecB family exonuclease,Thermus phage P23-45,,GCF_000871085.1,837
179439761,INSDC,NZGJ01000009.1,2981,3838,-,MAI49061.1,hypothetical protein,Rhodospirillaceae bacterium,,GCA_002689465.1,858
124760381,RefSeq,NZ_FNTV01000001.1,2925614,2926450,-,WP_244516902.1,lambda exonuclease family protein,Arthrobacter alpinus,DSM 22274,GCF_900105965.1,837
321585668,INSDC,LR796449.1,16906,17745,+,CAB4145624.1,"Putative exodeoxyribonuclease 8, PDDEXK-like domain containing protein",uncultured Caudovirales phage,,GCA_902986145.1,840
318070788,INSDC,JAAZMA010000200.1,3850,4691,-,NMB07935.1,PD-(D/E)XK nuclease family protein,Tissierellia bacterium,,GCA_012799055.1,842
99682103,RefSeq,NZ_CAAAIB010000015.1,49471,50301,+,WP_058451639.1,YqaJ viral recombinase family protein,Legionella maceachernii,Gorman PX-1-G2-E2,GCF_900639905.1,831
376678372,INSDC,MW030556.1,4439,5272,+,QPI16329.1,hypothetical protein,Virus NIOZ-UU157,,,834
198346689,INSDC,MH617458.1,10483,11316,-,AXH76802.1,hypothetical protein,Caudoviricetes sp.,,GCA_003655865.1,834
170443288,INSDC,PFLU01000039.1,4900,5430,-,PIY87524.1,hypothetical protein,Nitrospirae bacterium CG_4_10_14_0_8_um_filter_41_23,,GCA_002785245.1,531
471830188,RefSeq,NZ_JAESDL010000020.1,22829,23359,+,WP_218331340.1,CRISPR-associated protein Cas4,Hydrotalea lipotrueae,TMF_100,GCF_019249625.1,531
288012238,INSDC,WTFG01000004.1,53052,53582,+,MXV38205.1,CRISPR-associated protein Cas4,Flavobacteriaceae bacterium Ap0902,Ap0902,GCA_009835005.1,531
321572026,INSDC,LR796245.1,35690,36223,-,CAB4131200.1,hypothetical protein,uncultured Caudovirales phage,,GCA_902984055.1,534
130369995,RefSeq,NZ_FQWY01000029.1,26011,26544,+,WP_242939026.1,CRISPR-associated protein Cas4,Thermosyntropha lipolytica DSM 11003,DSM 11003,GCF_900129805.1,534
130366015,RefSeq,NZ_FQYI01000004.1,7895,8428,-,WP_073178996.1,CRISPR-associated protein Cas4,Cruoricaptor ignavus,DSM 25479,GCF_900141665.1,534
326504393,INSDC,MT364305.1,118064,118591,-,QKE44551.1,hypothetical protein,Yalta virus,,GCA_031202405.1,528
74281471,RefSeq,NC_011026.1,2819813,2820325,-,WP_041468591.1,CRISPR-associated protein Cas4,Chloroherpeton thalassium ATCC 35110,ATCC 35110,GCF_000020525.1,513
837953960,INSDC,JAWCMK010000335.1,1838,2320,+,MEM2915532.1,CRISPR-associated protein Cas4,Candidatus Bathyarchaeia archaeon,,GCA_038849935.1,483
314858508,INSDC,JAAZHZ010000603.1,2050,2580,-,NLA49706.1,CRISPR-associated protein Cas4,Bacteroidales bacterium,,GCA_012510415.1,531
558984100,INSDC,JAMWCT010000154.1,2021,2560,-,MCM8788048.1,hypothetical protein,Candidatus Omnitrophota bacterium,,GCA_023819525.1,540
200342560,RefSeq,NZ_PSYY01000023.1,2217,2768,-,WP_115806029.1,CRISPR-associated protein Cas4,Haloferax sp. Atlit-4N,Atlit-4N,GCF_003383025.1,552
321599182,INSDC,LR796715.1,22520,23068,-,CAB4161208.1,"phage_rel_nuc, putative phage-type endonuclease",uncultured Caudovirales phage,,GCA_902988695.1,549
106045169,INSDC,LSSC01000050.1,14166,14717,-,KYK35368.1,hypothetical protein,Theionarchaea archaeon DG-70-1,,GCA_001595815.1,552
282850734,RefSeq,NZ_CP045484.1,2684257,2684808,-,WP_156015764.1,CRISPR-associated protein Cas4,Sulfurisphaera ohwakuensis,TA-1,GCF_009729055.1,552
130449557,RefSeq,NZ_FRAU01000006.1,11748,12287,-,WP_072715742.1,CRISPR-associated protein Cas4,Rhodothermus profundi,DSM 22212,GCF_900142415.1,540
212853166,INSDC,QNAP01000178.1,1489,2028,-,RKX43614.1,CRISPR-associated protein Cas4,Thermotogota bacterium,,GCA_003641795.1,540
343202850,INSDC,JACCWO010000698.1,3825,4367,+,MBA2679602.1,DUF559 domain-containing protein,Ktedonobacteraceae bacterium,,GCA_013697605.1,543
232384652,RefSeq,NZ_SEWF01000068.1,23113,23658,+,WP_130023978.1,CRISPR-associated protein Cas4,Emticicia agri,17J42-9,GCF_004168285.1,546
235621745,INSDC,SCSM01000046.1,10801,11334,+,TAL66723.1,CRISPR-associated protein Cas4,Bacteroidota bacterium,,GCA_004322215.1,534
558954464,INSDC,JAMWCA010000136.1,3063,3566,+,MCM8809865.1,CRISPR-associated protein Cas4,Candidatus Omnitrophota bacterium,,GCA_023819545.1,504
23690960,RefSeq,NC_015681.1,2103086,2103589,+,WP_013908624.1,type I restriction enzyme HsdR N-terminal domain-containing protein,Thermodesulfatator indicus DSM 15286,DSM 15286,GCF_000217795.1,504
227479762,RefSeq,NZ_CP034791.1,102162,102665,-,WP_127350890.1,CRISPR-associated protein Cas4,Caldicellulosiruptor changbaiensis,CBS-Z,GCF_003999255.1,504
82108351,RefSeq,NZ_CP011267.1,1600763,1601266,-,WP_048096322.1,hypothetical protein,Geoglobus ahangari,234,GCF_001006045.1,504
102562261,RefSeq,NZ_CZVL01000033.1,15424,15921,-,WP_075460216.1,CRISPR-associated protein Cas4,Candidatus Kryptonium thompsonii,JGI-7,GCF_001536145.1,498
128744728,RefSeq,NZ_MORL01000008.1,270834,271337,-,WP_071504331.1,CRISPR-associated protein Cas4,Arsenicibacter rosenii,SM-1,GCF_001870735.1,504
742819482,INSDC,DAOOQM010000086.1,5741,6640,+,HOY85544.1,hypothetical protein,Candidatus Syntrophosphaera sp.,,GCA_035388745.1,900
152720051,INSDC,MWKR01000018.1,21569,22066,+,OWP56423.1,CRISPR-associated protein Cas4,Thermoplasmatales archaeon B_DKE,,GCA_002204705.1,498
215810590,INSDC,RFGN01000036.1,193,690,+,RMH22746.1,CRISPR-associated protein Cas4,Gammaproteobacteria bacterium,,GCA_003696645.1,498
144621556,INSDC,NBLP01000107.1,1459,1959,-,OQY08081.1,CRISPR-associated protein Cas4,Fusobacteriia bacterium 4572_132,,GCA_002084445.1,501
226477232,INSDC,QNXS01000007.1,6707,7207,-,RUM35044.1,hypothetical protein,Archaeoglobus sp.,,GCA_003978865.1,501
359647688,RefSeq,NZ_JACVVP010000073.1,9939,10445,+,WP_188171909.1,CRISPR-associated protein Cas4,Flammeovirga sp. EKP202,EKP202,GCF_014534745.1,507
227078315,RefSeq,NZ_RJJX01000015.1,6776,7288,-,WP_127344073.1,CRISPR-associated protein Cas4,Ancylomarina longa,T3-2 S1-C,GCF_003996985.1,513
329884369,INSDC,DUHL01000141.1,6752,7265,+,HIJ11341.1,hypothetical protein,Candidatus Woesearchaeota archaeon,,GCA_013330875.1,514
18573567,RefSeq,NC_013849.1,707945,708454,-,WP_012965314.1,GxxExxY protein,Ferroglobus placidus DSM 10642,DSM 10642,GCF_000025505.1,510
241798659,INSDC,MK373793.1,27360,27866,+,QBQ80876.1,hypothetical protein,Escherichia phage vB_EcoS_MM01,,GCA_005892345.1,507
321583070,INSDC,LR796418.1,169758,170264,+,CAB4143531.1,COG2887 RecB family exonuclease,uncultured Caudovirales phage,,GCA_902985695.1,507
599876988,INSDC,JANZZV010000010.1,68128,68637,+,MCX7654630.1,CRISPR-associated protein Cas4,Fervidobacterium sp.,,GCA_026419195.1,510
17981740,RefSeq,NC_013156.1,1351494,1352006,-,WP_015791976.1,CRISPR-associated protein Cas4,Methanocaldococcus fervens AG86,AG86,GCF_000023985.1,513
165860310,INSDC,PAMM01000035.1,13158,13736,+,MBA10926.1,hypothetical protein,Flavobacteriaceae bacterium,,GCA_002707295.1,579
317638605,INSDC,JAAYFP010000091.1,499,1005,+,NLY05309.1,CRISPR-associated protein Cas4,Candidatus Atribacteria bacterium,,GCA_012728195.1,507
189051840,INSDC,PRFC01000202.1,20785,25227,-,PWV00929.1,"putative trans-sialidase, Group IV",Trypanosoma cruzi,TCC,GCA_003177095.1,4443
201700843,RefSeq,NC_048037.1,32961,33542,+,YP_009808168.1,putative Cas4 family CRISPR-associated nuclease,Sulfolobus filamentous virus 1,,GCF_003441495.1,582
213686660,INSDC,QMWM01000040.1,3982,4563,+,RLG68723.1,CRISPR-associated protein Cas4,archaeon,,GCA_003661625.1,582
429680878,INSDC,JAGCWO010000565.1,3658,4476,+,MBP5469390.1,hypothetical protein,Candidatus Rifleibacteriota bacterium,,GCA_017961805.1,819
321614037,INSDC,LR797107.1,27067,27639,-,CAB4187430.1,hypothetical protein,uncultured Caudovirales phage,,GCA_902992635.1,573
616472468,INSDC,JAOGBL010000005.1,593,1324,+,MDA9881532.1,PD-(D/E)XK nuclease-like domain-containing protein,Crocinitomicaceae bacterium,,GCA_028145785.1,732
896067289,RefSeq,NZ_JBAZQQ010000013.1,8043,8615,+,WP_372855992.1,hypothetical protein,Pedobacter sp.,,GCF_041645105.1,573
302523311,INSDC,DRFP01000137.1,6512,7138,+,HDZ25427.1,Dna2/Cas4 domain-containing protein,Candidatus Aminicenantes bacterium,,GCA_011050515.1,627
213792466,INSDC,QMZB01000028.1,2121,2678,+,RLI82907.1,CRISPR-associated protein Cas4,Archaeoglobales archaeon,,GCA_003662925.1,558
895829659,INSDC,JBAZJX010000323.1,2275,3066,+,MFA5153804.1,hypothetical protein,Clostridia bacterium,,GCA_041651135.1,792
306940053,INSDC,DSAK01000073.1,10759,11316,-,HHO42118.1,Dna2/Cas4 domain-containing protein,Campylobacterota bacterium,,GCA_011372825.1,558
148410269,RefSeq,NZ_CP020477.1,41951,42511,-,WP_148690330.1,CRISPR-associated protein Cas4,Acidianus manzaensis,YN-25,GCF_002116695.1,561
838213516,INSDC,JAVZYH010000010.1,13771,14331,+,MEM4159322.1,CRISPR-associated protein Cas4,Candidatus Anstonellales archaeon,,GCA_038886235.1,561
120612265,RefSeq,NZ_FMUV01000012.1,53843,54397,+,WP_092976973.1,CRISPR-associated protein Cas4,Ruminococcus sp. YE282,YE282,GCF_900101355.1,555
304648790,RefSeq,NZ_CP048877.1,1369428,1369982,+,WP_166032174.1,hypothetical protein,Thermosulfuriphilus ammonigenes,ST65,GCF_011207455.1,555
537252054,RefSeq,NZ_CABMJI010000018.1,216883,217437,-,WP_242978485.1,CRISPR-associated protein Cas4,Clostridium tetani,,GCF_902386545.1,555
309141006,RefSeq,NZ_JAASRN010000002.1,363444,364001,+,WP_166919161.1,CRISPR-associated protein Cas4,Thermonema lapsum,DSM 5718,GCF_011761635.1,558
130426562,INSDC,FQVH01000020.1,36584,37153,+,SHF38819.1,"CRISPR-associated exonuclease, Cas4 family",Caldanaerobius fijiensis DSM 17918,DSM 17918,GCA_900129075.1,570
26665443,RefSeq,NZ_JH597761.1,217469,218041,+,WP_009070191.1,CRISPR-associated protein Cas4,Metallosphaera yellowstonensis MK1,MK1,GCF_000243315.1,573
89801645,RefSeq,NZ_JFZT01000068.1,4509,5087,+,WP_052349562.1,CRISPR-associated protein Cas4,Candidatus Acidianus copahuensis,ALE1,GCF_000632495.1,579
226280830,INSDC,QOAJ01000020.1,269,832,-,RTZ68948.1,hypothetical protein,Mycoplasmatota bacterium,,GCA_003972965.1,564
213758976,INSDC,QMYO01000107.1,3534,4178,+,RLI44945.1,hypothetical protein,Candidatus Bathyarchaeota archaeon,,GCA_003662715.1,645
101390316,RefSeq,NC_030904.1,37111,37677,+,YP_009273387.1,Holliday junction resolvase,Bacillus phage vB_BhaS-171,,GCF_001736615.1,567
220290511,INSDC,MK113949.1,10111,10677,-,AZF90139.1,hypothetical protein,Phage 5P_1,,GCA_004875565.1,567
174414244,INSDC,PJQH01000213.1,2617,3114,+,PLS86315.1,CRISPR-associated protein Cas4,Actinomycetota bacterium,,GCA_002861635.1,498
36181191,RefSeq,NC_021328.1,91513,91908,-,YP_008059364.1,PD-(D/E)XK nuclease,Halogranum tailed virus 1,,GCF_000908655.1,396
466752081,RefSeq,NZ_CM001402.1,3303394,3303870,-,WP_217183930.1,endonuclease domain-containing protein,Caldithrix abyssi DSM 13497,DSM 13497,GCF_000241815.1,477
461323739,INSDC,BK059131.1,894,1289,-,DAE32966.1,DNA mismatch endonuclease,virus sp. ctoYX9,,,396
88924143,RefSeq,NZ_ALWO02000003.1,1,433,+,WP_051394791.1,Dna2/Cas4 domain-containing protein,Indibacter alkaliphilus LW1,LW1,GCF_000295935.2,433
170420878,INSDC,PFKJ01000379.1,4795,5189,+,PIY21002.1,hypothetical protein,Deltaproteobacteria bacterium CG_4_10_14_3_um_filter_60_8,,GCA_002784745.1,395
207052471,INSDC,DOMK01000019.1,7868,8248,-,HBU07475.1,hypothetical protein,Candidatus Magasanikiibacteriota bacterium,,GCA_003510435.1,381
121417322,INSDC,MFGX01000070.1,3,413,+,OGF54886.1,CRISPR-associated protein Cas4,Candidatus Fraserbacteria bacterium RBG_16_55_9,,GCA_001778455.1,411
139241559,INSDC,FUWX01000008.1,37026,37436,+,SJZ63949.1,CRISPR-associated exonuclease Cas4,Cetobacterium ceti,ATCC 700028,GCA_900167275.1,411
250060770,INSDC,SULG01000005.1,43574,43984,-,TLD43260.1,CRISPR-associated RecB family exonuclease Cas4a,Candidatus Jettenia ecosi,,GCA_005524015.1,411
204695,RefSeq,NC_000964.3,2210331,2210747,-,WP_004399583.1,hypothetical protein,Bacillus subtilis subsp. subtilis str. 168,168,GCF_000009045.1,417
321584904,INSDC,LR796437.1,41357,41764,-,CAB4144815.1,hypothetical protein,uncultured Caudovirales phage,,GCA_902985875.1,408
121529098,INSDC,MFQE01000073.1,5524,5925,+,OGH69615.1,hypothetical protein,Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_02_FULL_51_14,,GCA_001782905.1,402
179922362,INSDC,NZAS01000130.1,8831,9388,-,MAG26784.1,hypothetical protein,Candidatus Pacearchaeota archaeon,,GCA_002686195.1,558
620487187,INSDC,JAOMIO010000002.1,9087,9671,+,MDC0308802.1,hypothetical protein,bacterium,,GCA_028348035.1,585
315208313,INSDC,JAAZBG010000028.1,1098,1508,+,NLD91348.1,DUF559 domain-containing protein,Fibrobacter sp.,,GCA_012513915.1,411
123029268,INSDC,FNFC01000017.1,55203,55610,+,SDK09205.1,hypothetical protein,Halovenus aranensis,IBRC-M10015,GCA_900100385.1,408
92195395,RefSeq,NZ_CAKSZK010000014.1,16939,17259,+,WP_054065670.1,hypothetical protein,uncultured Comamonas sp.,,GCF_934525665.1,321
450051515,INSDC,LC629500.1,36007,36315,-,BCV01858.1,hypothetical protein,Caudoviricetes sp.,,GCA_018448065.1,309
461307158,INSDC,BK015667.1,14213,14536,+,DAE19108.1,hypothetical protein,Siphoviridae sp. ctk4d14,,,324
80220954,INSDC,ABXP02000122.1,52599,52937,-,KKC28638.1,endonuclease,Caldanaerobacter subterraneus subsp. pacificus DSM 12653,DSM 12653,GCA_000156275.2,339
230911132,RefSeq,NC_055060.1,3107,3430,-,YP_010084069.1,hypothetical protein,Streptomyces phage WheeHeim,,GCF_004149125.1,324
119618375,INSDC,KU686213.1,36076,36282,+,AOV62228.1,hypothetical protein,Synechococcus phage S-CAM7,,GCA_002612085.1,207
184635654,INSDC,BDQX01000096.1,1134,1328,+,GBG07414.1,"putative hypothetical protein, partial",Paenibacillus agaridevorans,T-3040,GCA_003112455.1,195
321585011,INSDC,LR796439.1,16647,16988,-,CAB4144386.1,hypothetical protein,uncultured Caudovirales phage,,GCA_902985915.1,342
462374312,INSDC,BK017887.1,33479,33844,-,DAG34317.1,Very-short-patch-repair endonuclease,Caudoviricetes sp.,,,366
121207412,INSDC,METS01000001.1,242350,242712,+,OGC04868.1,hypothetical protein,candidate division WOR-1 bacterium RIFOXYA12_FULL_43_27,,GCA_001771415.1,363
170556026,INSDC,PFTW01000227.1,1,380,+,PJB58814.1,CRISPR-associated protein Cas4,Bacteroidetes bacterium CG_4_9_14_3_um_filter_41_19,,GCA_002789775.1,380
823514869,RefSeq,NZ_JAYCLI010000120.1,20206,20841,-,WP_337430848.1,endonuclease domain-containing protein,Bilophila sp.,,GCF_037247235.1,636
176991080,RefSeq,NZ_PPSL01000001.1,814579,814932,-,WP_105037735.1,hypothetical protein,Flavipsychrobacter stenotrophus,RB1R16,GCF_002954265.1,354
175485419,INSDC,PNJD01000133.1,1,348,-,PMP97740.1,hypothetical protein,Thermodesulfobacterium geofontis,,GCA_002878125.1,348
213164598,INSDC,QMLL01000279.1,3370,3843,+,RLB05251.1,CRISPR-associated protein Cas4,Deltaproteobacteria bacterium,,GCA_003646715.1,474
349295252,RefSeq,NZ_JACIBY010000011.1,50540,51124,-,WP_183977457.1,hypothetical protein,Runella defluvii,DSM 17976,GCF_014195535.1,585
57333355,INSDC,HG934468.1,1279735,1280214,+,CDN31373.1,hypothetical protein,Mucinivorans hirudinis,,GCA_000723505.1,480
205556491,INSDC,DNGR01000268.1,1,477,+,HAY66095.1,hypothetical protein,Acidimicrobiaceae bacterium,,GCA_003486185.1,477
826591655,RefSeq,NZ_CP046051.1,675732,676205,+,WP_338031364.1,CRISPR-associated protein Cas4,Caproicibacterium lactatifermentans,LBM19010,GCF_013315815.1,474
461320484,INSDC,BK059098.1,8060,8527,-,DAE29761.1,hypothetical protein,virus sp. ctyMK1,,,468
160664139,INSDC,MF497422.1,3720,4193,+,ATB52643.1,putative endonuclease I,Vibrio phage vB_VspS_VS-ABTNL-3,,GCA_002743615.1,474
321583430,INSDC,LR796420.1,130676,131149,+,CAB4143320.1,hypothetical protein,uncultured Caudovirales phage,,GCA_902985645.1,474
578045054,INSDC,JANXBH010000024.1,3076,3567,+,MCS7245977.1,CRISPR-associated protein Cas4,candidate division WOR-3 bacterium,,GCA_025060695.1,492
131334872,INSDC,AP017647.1,1052860,1053351,-,BAW31808.1,CRISPR-associated protein Cas4,Methanothermobacter sp. MT-2,MT-2,GCA_003584625.1,492
205073819,RefSeq,NZ_DDYV01000209.1,20837,21334,+,WP_286819634.1,CRISPR-associated protein Cas4,Desulfobacter sp. UBA2225,,GCF_002348205.1,498
318606199,INSDC,DULK01000020.1,3747,4244,-,HHW39892.1,CRISPR-associated protein Cas4,Syntrophomonadaceae bacterium,,GCA_012840385.1,498
320944329,INSDC,DTZL01000121.1,622,1113,-,HIE41346.1,CRISPR-associated protein Cas4,Candidatus Aenigmatarchaeota archaeon,,GCA_012961335.1,492
217830095,INSDC,MK072136.1,11433,11921,+,AYV79202.1,hypothetical protein,Faunusvirus sp.,,GCA_003814085.1,489
43487694,INSDC,AWSJ01000245.1,1754,2188,-,ERI07856.1,hypothetical protein,Aneurinibacillus aneurinilyticus ATCC 12856,ATCC 12856,GCA_000466385.1,435
315225823,INSDC,JAAZBH010000688.1,4147,4578,-,NLE01126.1,DUF559 domain-containing protein,Fibrobacter sp.,,GCA_012513935.1,432
684338703,INSDC,JASMFQ010000050.1,2063,2665,-,MDP7365914.1,hypothetical protein,Candidatus Paceibacterota bacterium,,GCA_030751725.1,603
119262416,RefSeq,NZ_MAMP01000012.1,32247,32687,-,WP_069937508.1,hypothetical protein,Domibacillus iocasae,DSM 29979,GCF_001750285.1,441
575003957,INSDC,OP030908.1,178537,178974,+,UVM93553.1,DNA mismatch endonuclease,Bacteriophage sp.,,,438
530694813,RefSeq,NZ_CP026498.1,10954187,10954627,+,WP_241003052.1,CRISPR-associated protein Cas4,Streptomyces sp. CB01881,CB01881,GCF_002953255.1,441
174525879,INSDC,LNDD01000002.1,46259,46678,+,PLV57251.1,CRISPR-associated protein Cas4,Thermotoga sp. SG1,SG1,GCA_002865985.1,420
596340777,INSDC,OP272492.1,29888,30700,-,UZT50336.1,endonuclease I,Enterobacter phage 03_vB_Eclo_IJM,,GCA_026432305.1,813
577887840,INSDC,JANWYV010000002.1,1,510,+,MCS6815796.1,CRISPR-associated protein Cas4,Blastocatellia bacterium,,GCA_025055075.1,510
213302615,INSDC,QMNP01000212.1,293,718,-,RLC50887.1,hypothetical protein,Candidatus Cloacimonadota bacterium,,GCA_003647825.1,426
245165584,RefSeq,NZ_SRSF01000013.1,283,708,+,WP_136460514.1,Dna2/Cas4 domain-containing protein,Neolewinella litorea,HSMS-39,GCF_004803465.1,426
