## Wed Mar 12 03:12:31 2025
## emapper-2.1.12
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_g9ib9qzm --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_g9ib9qzm --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_g9ib9qzm/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MCX8483448.1	1357423.S5MCZ1_9CAUD	1.76e-43	150.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_173677793.1	177416.FTT_0586	4.09e-133	377.0	COG1468@1|root,COG1468@2|Bacteria,1N46Y@1224|Proteobacteria,1SHCT@1236|Gammaproteobacteria	1236|Gammaproteobacteria	L	Domain of unknown function DUF83	cas4	-	3.1.12.1	ko:K07464	-	-	-	-	ko00000,ko01000,ko02048	-	-	-	Cas_Cas4
DAF86074.1	1214184.ALKY01000039_gene938	7.06e-84	256.0	COG1074@1|root,COG1074@2|Bacteria,1V1UQ@1239|Firmicutes,4HGSG@91061|Bacilli,1WTYI@1307|Streptococcus suis	91061|Bacilli	L	PDDEXK-like domain of unknown function (DUF3799)	pi112	-	-	-	-	-	-	-	-	-	-	-	DUF3799
MEM0366325.1	272557.APE_0373	2.91e-53	177.0	COG1468@1|root,arCOG00786@2157|Archaea,2XR3Y@28889|Crenarchaeota	28889|Crenarchaeota	V	Domain of unknown function DUF83	-	-	3.1.12.1	ko:K07464	-	-	-	-	ko00000,ko01000,ko02048	-	-	-	PDDEXK_1
WP_166161397.1	596323.HMPREF0554_2076	1.18e-62	202.0	2CH4S@1|root,32S58@2|Bacteria	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
QIG60977.1	330395.Q30KZ7_9CAUD	1.03e-153	431.0	4QAPV@10239|Viruses,4QYDY@35237|dsDNA viruses  no RNA stage,4QQ0U@28883|Caudovirales,4QJI1@10662|Myoviridae	10662|Myoviridae	S	Domain of unknown function (DUF4379)	-	-	-	-	-	-	-	-	-	-	-	-	-
YP_003773416.1	762905.D9CG87_9VIRU	2.83e-159	446.0	4QC9Z@10239|Viruses,4QW54@35237|dsDNA viruses  no RNA stage	10239|Viruses	S	Domain of unknown function DUF83	-	-	-	-	-	-	-	-	-	-	-	-	-
AHF03419.1	765910.MARPU_05585	1.31e-148	417.0	COG1074@1|root,COG1074@2|Bacteria,1QUUZ@1224|Proteobacteria,1T21W@1236|Gammaproteobacteria	1236|Gammaproteobacteria	L	PDDEXK-like domain of unknown function (DUF3799)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3799
WP_015899984.1	396513.SCA_0732	1.21e-148	417.0	COG4493@1|root,COG4493@2|Bacteria,1UY83@1239|Firmicutes,4HEDB@91061|Bacilli,4GY9B@90964|Staphylococcaceae	91061|Bacilli	S	Belongs to the UPF0637 family	yktB	-	-	-	-	-	-	-	-	-	-	-	DUF1054
YP_001604227.1	512792.B2CRI5_9VIRU	3.53e-93	277.0	4QGRN@10239|Viruses,4QY80@35237|dsDNA viruses  no RNA stage,4QP9V@1511857|Ligamenvirales,4QHT2@10477|Lipothrixviridae	10477|Lipothrixviridae	S	nuclease activity	-	-	-	-	-	-	-	-	-	-	-	-	-
MDD4523730.1	269797.Mbar_A0302	1.46e-113	328.0	COG1468@1|root,arCOG00794@2157|Archaea,2XY99@28890|Euryarchaeota	28890|Euryarchaeota	V	CRISPR-associated protein Cas4	-	GO:0000738,GO:0003674,GO:0003824,GO:0004518,GO:0004527,GO:0004529,GO:0004536,GO:0005488,GO:0006139,GO:0006259,GO:0006308,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008297,GO:0008409,GO:0009056,GO:0009057,GO:0009987,GO:0016787,GO:0016788,GO:0016796,GO:0016895,GO:0019439,GO:0030145,GO:0034641,GO:0034655,GO:0035312,GO:0043167,GO:0043169,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0045145,GO:0046483,GO:0046700,GO:0046872,GO:0046914,GO:0048037,GO:0051536,GO:0051539,GO:0051540,GO:0071704,GO:0090304,GO:0090305,GO:0140097,GO:1901360,GO:1901361,GO:1901575	3.1.12.1	ko:K07464	-	-	-	-	ko00000,ko01000,ko02048	-	-	-	Cas_Cas4
WP_007003461.1	1236501.BAJU01000067_gene3160	1.99e-45	155.0	COG1074@1|root,COG1074@2|Bacteria,1MUTF@1224|Proteobacteria,2TQJZ@28211|Alphaproteobacteria,2JPMW@204441|Rhodospirillales	204441|Rhodospirillales	L	Belongs to the helicase family. UvrD subfamily	addA	-	3.6.4.12	ko:K16898	-	-	-	-	ko00000,ko01000,ko03400	-	-	-	PDDEXK_1,UvrD-helicase,UvrD_C
YP_010357524.1	1327981.S0A2A9_9CAUD	4.54e-151	424.0	4QCB0@10239|Viruses,4QX81@35237|dsDNA viruses  no RNA stage,4QKQY@10699|Siphoviridae	10699|Siphoviridae	S	YqaJ-like viral recombinase domain	-	-	-	-	-	-	-	-	-	-	-	-	-
MBO9638477.1	929703.KE386491_gene3230	7.98e-67	211.0	28JM4@1|root,2Z9DP@2|Bacteria,4NK1M@976|Bacteroidetes,47P1U@768503|Cytophagia	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_000932631.1	170187.SP_2039	9.03e-135	383.0	2CH4S@1|root,32S58@2|Bacteria,1VC9V@1239|Firmicutes,4HNHW@91061|Bacilli,1WV3I@1313|Streptococcus pneumoniae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YP_009148417.2	1563661.A0A097PAP9_9CAUD	5.35e-248	679.0	4QEG2@10239|Viruses,4QRJ9@28883|Caudovirales,4QP0R@10744|Podoviridae	10744|Podoviridae	S	exonuclease activity	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_070762934.1	1414719.CBYN010000153_gene1389	1.82e-238	669.0	COG2251@1|root,COG2251@2|Bacteria,2HF5B@201174|Actinobacteria,22KF3@1653|Corynebacteriaceae	201174|Actinobacteria	S	Nuclease, RecB family	-	-	-	-	-	-	-	-	-	-	-	-	RNase_H_2
YP_009849290.1	1441930.Z042_05520	5.7e-105	342.0	29F24@1|root,301ZW@2|Bacteria,1RDF7@1224|Proteobacteria,1S5EJ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Head binding	-	-	-	-	-	-	-	-	-	-	-	-	Head_binding
YP_009639754.1	1340434.AXVA01000005_gene4869	4.83e-41	168.0	COG5434@1|root,COG5434@2|Bacteria,1TSQD@1239|Firmicutes,4IQIP@91061|Bacilli,1ZRK9@1386|Bacillus	91061|Bacilli	M	Periplasmic copper-binding protein (NosD)	-	-	-	-	-	-	-	-	-	-	-	-	Beta_helix
YP_010658848.1	655097.C8ZKG2_9CAUD	2.3e-286	808.0	4QGA5@10239|Viruses,4QURD@35237|dsDNA viruses  no RNA stage,4QT9N@28883|Caudovirales,4QP47@10744|Podoviridae	10744|Podoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_175555362.1	1327941.T1S9Y2_9CAUD	7.4e-27	125.0	4QAK6@10239|Viruses,4QUP9@35237|dsDNA viruses  no RNA stage,4QPBY@28883|Caudovirales,4QNBD@10744|Podoviridae	10744|Podoviridae	S	outer membrane	-	GO:0003674,GO:0003824,GO:0004553,GO:0005575,GO:0008150,GO:0016032,GO:0016787,GO:0016798,GO:0019012,GO:0019058,GO:0019062,GO:0022610,GO:0044403,GO:0044406,GO:0044409,GO:0044411,GO:0044419,GO:0044423,GO:0044650,GO:0051701,GO:0051704,GO:0051828,GO:0051830,GO:0085027,GO:0098015,GO:0098024	-	-	-	-	-	-	-	-	-	-	-
AUR98989.1	521000.PROVRETT_05489	7.21e-31	136.0	2DBBN@1|root,2Z88V@2|Bacteria,1QUEK@1224|Proteobacteria,1T1W3@1236|Gammaproteobacteria,3Z9PX@586|Providencia	1236|Gammaproteobacteria	S	PDDEXK-like domain of unknown function (DUF3799)	-	-	-	ko:K10906	-	-	-	-	ko00000,ko01000,ko03400	-	-	-	DUF3799,Exonuc_VIII
KAA3636401.1	1121272.KB903292_gene3977	3.61e-13	81.6	COG3210@1|root,COG3210@2|Bacteria	2|Bacteria	U	domain, Protein	-	-	-	ko:K21449	-	-	-	-	ko00000,ko02000	1.B.40.2	-	-	Beta_helix,Peptidase_S74
AZS06263.1	1151116.Q7S_08895	8.27e-43	170.0	COG5301@1|root,COG5301@2|Bacteria	2|Bacteria	G	cellulose 1,4-beta-cellobiosidase activity	-	-	-	ko:K21449	-	-	-	-	ko00000,ko02000	1.B.40.2	-	-	DUF2793,Phage_fiber_2
WP_096259324.1	990073.ATHU01000001_gene594	0.0	1108.0	COG0210@1|root,COG2887@1|root,COG0210@2|Bacteria,COG2887@2|Bacteria,1QUIU@1224|Proteobacteria,42M7I@68525|delta/epsilon subdivisions,2YMX0@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	L	COG3893 inactivated superfamily I helicase	addB	-	-	-	-	-	-	-	-	-	-	-	PDDEXK_1
YP_009597361.1	155148.Q9AYY6_BPHK6	2.48e-169	510.0	4QAK6@10239|Viruses,4QUP9@35237|dsDNA viruses  no RNA stage,4QPBY@28883|Caudovirales,4QNBS@10744|Podoviridae	10744|Podoviridae	S	pathogenesis	-	-	-	-	-	-	-	-	-	-	-	-	-
CAB4141567.1	460265.Mnod_2598	1.22e-16	92.4	28JTG@1|root,2Z9IR@2|Bacteria,1R0GC@1224|Proteobacteria,2TURR@28211|Alphaproteobacteria,1JT1N@119045|Methylobacteriaceae	28211|Alphaproteobacteria	S	Protein of unknown function (DUF2793)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2793
YP_009021398.1	867696.E1XTI0_BPSAV	7.44e-152	465.0	4QBAC@10239|Viruses,4QYFN@35237|dsDNA viruses  no RNA stage,4QU8A@28883|Caudovirales,4QJ7D@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_157793063.1	269482.Bcep1808_1185	1.58e-79	277.0	COG5434@1|root,COG5434@2|Bacteria,1RCW1@1224|Proteobacteria,2W4G2@28216|Betaproteobacteria,1KBDM@119060|Burkholderiaceae	28216|Betaproteobacteria	M	Pectate lyase superfamily protein	-	-	-	-	-	-	-	-	-	-	-	-	Pectate_lyase_3
RUM73173.1	1165841.SULAR_10014	2.14e-289	823.0	COG1074@1|root,COG1074@2|Bacteria,1MUTF@1224|Proteobacteria,42NKH@68525|delta/epsilon subdivisions,2YMVS@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	L	Belongs to the helicase family. UvrD subfamily	addA	-	3.1.11.5	ko:K03582	ko03440,map03440	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	Cas_Cas4,PDDEXK_1,UvrD-helicase,UvrD_C
WP_139601514.1	1449063.JMLS01000021_gene739	2.8e-149	454.0	2DVMW@1|root,33WFE@2|Bacteria	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Pectate_lyase_3
WP_104724394.1	1408442.JADE01000004_gene156	2.21e-190	564.0	COG2887@1|root,COG2887@2|Bacteria,1QUIU@1224|Proteobacteria,42M7I@68525|delta/epsilon subdivisions,2YMX0@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	L	COG3893 inactivated superfamily I helicase	addB	-	-	-	-	-	-	-	-	-	-	-	PDDEXK_1
WP_318557955.1	1005994.GTGU_00319	4.32e-34	147.0	COG2755@1|root,COG2755@2|Bacteria	2|Bacteria	E	lipolytic protein G-D-S-L family	-	GO:0000272,GO:0003674,GO:0003824,GO:0005975,GO:0005976,GO:0006080,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009987,GO:0010383,GO:0010391,GO:0010410,GO:0016052,GO:0016787,GO:0016788,GO:0017144,GO:0042737,GO:0043170,GO:0044036,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0045491,GO:0045493,GO:0046555,GO:0052689,GO:0071554,GO:0071704,GO:1901575,GO:2000884	-	-	-	-	-	-	-	-	-	-	CBM_2,Lipase_GDSL_2
WP_179817621.1	269482.Bcep1808_1185	9.84e-44	177.0	COG5434@1|root,COG5434@2|Bacteria,1RCW1@1224|Proteobacteria,2W4G2@28216|Betaproteobacteria,1KBDM@119060|Burkholderiaceae	28216|Betaproteobacteria	M	Pectate lyase superfamily protein	-	-	-	-	-	-	-	-	-	-	-	-	Pectate_lyase_3
QBK89328.1	693272.E3T5S4_CROVB	1.06e-159	490.0	4QARC@10239|Viruses,4QV4E@35237|dsDNA viruses  no RNA stage	10239|Viruses	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_155847392.1	1282361.ABAC402_11630	0.0	900.0	COG2931@1|root,COG2931@2|Bacteria,1MU7T@1224|Proteobacteria,2TRVY@28211|Alphaproteobacteria	28211|Alphaproteobacteria	Q	COG2931 RTX toxins and related Ca2 -binding proteins	-	-	-	ko:K07004	-	-	-	-	ko00000	-	-	-	Calx-beta,DUF4347,HemolysinCabind,PPC,P_proprotein,Peptidase_M10,Peptidase_M10_C,Peptidase_S8
YP_009879669.1	1173762.S4TP40_9CAUD	1e-53	205.0	4QAK6@10239|Viruses,4QUP9@35237|dsDNA viruses  no RNA stage,4QPBY@28883|Caudovirales,4QNBD@10744|Podoviridae	10744|Podoviridae	S	outer membrane	-	-	-	-	-	-	-	-	-	-	-	-	-
YP_010843557.1	1147094.H6X4Y7_9CAUD	0.0	1504.0	4QAK6@10239|Viruses,4QUP9@35237|dsDNA viruses  no RNA stage,4QPBY@28883|Caudovirales	28883|Caudovirales	S	N-acetylmuramoyl-L-alanine amidase activity	-	-	-	-	-	-	-	-	-	-	-	-	-
CUS14035.1	39416.CAZ81672	0.0	1006.0	29732@1|root,2RE2I@2759|Eukaryota,39TGH@33154|Opisthokonta,3NXXP@4751|Fungi,3QTNW@4890|Ascomycota	4751|Fungi	L	AAA domain	-	-	-	-	-	-	-	-	-	-	-	-	AAA_19,UvrD-helicase,UvrD_C_2
YP_009793062.1	1264737.K9RZW4_9CAUD	2.17e-20	105.0	4QAK6@10239|Viruses,4QUP9@35237|dsDNA viruses  no RNA stage,4QPBY@28883|Caudovirales,4QNBD@10744|Podoviridae	10744|Podoviridae	S	outer membrane	-	-	-	-	-	-	-	-	-	-	-	-	-
QWT56384.1	1410331.W6PEG9_9CAUD	1.43e-74	266.0	4QAK6@10239|Viruses,4QUP9@35237|dsDNA viruses  no RNA stage,4QPBY@28883|Caudovirales,4QNBD@10744|Podoviridae	10744|Podoviridae	S	outer membrane	-	GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0008150,GO:0016032,GO:0019012,GO:0019058,GO:0019062,GO:0022610,GO:0042802,GO:0044403,GO:0044406,GO:0044419,GO:0044423,GO:0044650,GO:0051704,GO:0098015,GO:0098024	-	-	-	-	-	-	-	-	-	-	-
YP_009821377.1	674082.D1L2X0_9CAUD	2.54e-132	421.0	4QAK6@10239|Viruses,4QUP9@35237|dsDNA viruses  no RNA stage,4QPBY@28883|Caudovirales,4QNBD@10744|Podoviridae	10744|Podoviridae	S	outer membrane	-	GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0008150,GO:0016032,GO:0019012,GO:0019058,GO:0019062,GO:0022610,GO:0042802,GO:0044403,GO:0044406,GO:0044419,GO:0044423,GO:0044650,GO:0051704,GO:0098015,GO:0098024	-	-	-	-	-	-	-	-	-	-	-
YP_009884730.1	1206545.S6C8R9_9CAUD	5.85e-83	295.0	4QBAC@10239|Viruses,4QYFN@35237|dsDNA viruses  no RNA stage,4QU8A@28883|Caudovirales,4QJ7D@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MBU0791168.1	1415779.JOMH01000001_gene2386	0.0	1272.0	COG1199@1|root,COG1199@2|Bacteria,1MVRJ@1224|Proteobacteria,1RQ7B@1236|Gammaproteobacteria,1X5VH@135614|Xanthomonadales	135614|Xanthomonadales	KL	DEAD_2	-	-	-	-	-	-	-	-	-	-	-	-	DEAD_2,Helicase_C_2
KAF5848766.1	45130.XP_007703305.1	0.0	1588.0	2CNC5@1|root,2QV54@2759|Eukaryota,39S8X@33154|Opisthokonta,3NW2N@4751|Fungi,3RJC2@4890|Ascomycota,200FA@147541|Dothideomycetes,4KEB4@92860|Pleosporales	4751|Fungi	G	Glycoside hydrolase family 55 protein	-	-	3.2.1.58	ko:K01210	ko00500,map00500	-	R00308,R03115	RC00467	ko00000,ko00001,ko01000	-	-	-	Pectate_lyase_3
WP_231479267.1	1203076.CAKF01000006_gene561	4.19e-73	261.0	29WTK@1|root,30IEZ@2|Bacteria,1UV2A@1239|Firmicutes,4I41W@91061|Bacilli,3F6DE@33958|Lactobacillaceae	91061|Bacilli	S	Domain of unknown function (DUF2479)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2479,Pectate_lyase_3
QHJ79983.1	10761.Q716G1_BPSFV	1.75e-48	189.0	4QAK6@10239|Viruses,4QUP9@35237|dsDNA viruses  no RNA stage,4QPBY@28883|Caudovirales,4QNBS@10744|Podoviridae	10744|Podoviridae	S	pathogenesis	-	-	-	-	-	-	-	-	-	-	-	-	-
KPI24660.1	33898.JRHJ01000076_gene431	9.72e-95	315.0	29V63@1|root,30GJR@2|Bacteria,2GXP8@201174|Actinobacteria	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_086307198.1	1244528.CFT03427_0394	4.54e-246	712.0	COG2887@1|root,COG2887@2|Bacteria,1QUIU@1224|Proteobacteria,42M7I@68525|delta/epsilon subdivisions,2YMX0@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	L	COG3893 inactivated superfamily I helicase	addB	-	-	-	-	-	-	-	-	-	-	-	PDDEXK_1
RYY74740.1	1209072.ALBT01000008_gene2863	0.0	1068.0	COG1199@1|root,COG1199@2|Bacteria,1MVRJ@1224|Proteobacteria,1RQ7B@1236|Gammaproteobacteria	1236|Gammaproteobacteria	KL	COG1199 Rad3-related DNA helicases	-	-	3.6.4.12	ko:K10844	ko03022,ko03420,map03022,map03420	M00290	-	-	ko00000,ko00001,ko00002,ko01000,ko03021,ko03400	-	-	-	DEAD_2,Helicase_C_2
WP_377690702.1	1209072.ALBT01000008_gene2863	1.95e-232	674.0	COG1199@1|root,COG1199@2|Bacteria,1MVRJ@1224|Proteobacteria,1RQ7B@1236|Gammaproteobacteria	1236|Gammaproteobacteria	KL	COG1199 Rad3-related DNA helicases	-	-	3.6.4.12	ko:K10844	ko03022,ko03420,map03022,map03420	M00290	-	-	ko00000,ko00001,ko00002,ko01000,ko03021,ko03400	-	-	-	DEAD_2,Helicase_C_2
YP_009195383.1	1129191.K9L8K6_9CAUD	1.24e-96	327.0	4QAK6@10239|Viruses,4QUP9@35237|dsDNA viruses  no RNA stage,4QPBY@28883|Caudovirales,4QKKV@10699|Siphoviridae	10699|Siphoviridae	S	peptidoglycan catabolic process	-	-	-	-	-	-	-	-	-	-	-	-	-
NVK01425.1	1415754.JQMK01000002_gene2178	3.67e-242	699.0	COG1199@1|root,COG1199@2|Bacteria,1MVRJ@1224|Proteobacteria,1RQ7B@1236|Gammaproteobacteria,464G6@72275|Alteromonadaceae	1236|Gammaproteobacteria	KL	COG1199 Rad3-related DNA helicases	-	-	3.6.4.12	ko:K10844	ko03022,ko03420,map03022,map03420	M00290	-	-	ko00000,ko00001,ko00002,ko01000,ko03021,ko03400	-	-	-	DEAD_2,Helicase_C_2
WP_186927278.1	657309.BXY_32210	5.19e-288	804.0	COG5434@1|root,COG5434@2|Bacteria,4NEM8@976|Bacteroidetes,2FMYC@200643|Bacteroidia,4AMDJ@815|Bacteroidaceae	976|Bacteroidetes	G	Belongs to the glycosyl hydrolase 28 family	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_hydro_28,Pectate_lyase_3
WP_015048332.1	1117647.M5M_15235	0.0	1511.0	COG1199@1|root,COG1468@1|root,COG1199@2|Bacteria,COG1468@2|Bacteria,1MVRJ@1224|Proteobacteria,1RQ7B@1236|Gammaproteobacteria,1J5H5@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	KL	COG1199 Rad3-related DNA helicases	-	-	3.6.4.12	ko:K10844	ko03022,ko03420,map03022,map03420	M00290	-	-	ko00000,ko00001,ko00002,ko01000,ko03021,ko03400	-	-	-	DEAD_2,Helicase_C_2
WP_153713640.1	1215092.PA6_005_01610	6.82e-271	772.0	COG1199@1|root,COG1199@2|Bacteria,1MVRJ@1224|Proteobacteria,1RQ7B@1236|Gammaproteobacteria,1YE08@136841|Pseudomonas aeruginosa group	1236|Gammaproteobacteria	KL	DEAD_2	-	-	3.6.4.12	ko:K10844	ko03022,ko03420,map03022,map03420	M00290	-	-	ko00000,ko00001,ko00002,ko01000,ko03021,ko03400	-	-	-	DEAD,DEAD_2,Helicase_C_2,PDDEXK_1
UAW09804.1	1481187.A0A075DXN1_9CAUD	1.15e-36	155.0	4QBQB@10239|Viruses,4QXNT@35237|dsDNA viruses  no RNA stage,4QT23@28883|Caudovirales,4QNBD@10744|Podoviridae	10744|Podoviridae	S	outer membrane	-	GO:0003674,GO:0003824,GO:0004553,GO:0005575,GO:0008150,GO:0016032,GO:0016787,GO:0016798,GO:0019012,GO:0019058,GO:0019062,GO:0022610,GO:0044403,GO:0044406,GO:0044409,GO:0044411,GO:0044419,GO:0044423,GO:0044650,GO:0051701,GO:0051704,GO:0051828,GO:0051830,GO:0085027,GO:0098015,GO:0098024	-	-	-	-	-	-	-	-	-	-	-
YP_009796379.1	637730.C8XUT0_9CAUD	1.59e-72	259.0	4QBAC@10239|Viruses,4QYFN@35237|dsDNA viruses  no RNA stage,4QU8A@28883|Caudovirales,4QJ7D@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YP_009878784.1	63118.O80112_9CAUD	1.17e-142	441.0	4QAYQ@10239|Viruses,4QV86@35237|dsDNA viruses  no RNA stage,4QQ3V@28883|Caudovirales,4QKNS@10699|Siphoviridae	10699|Siphoviridae	S	Domain of unknown function (DUF2479)	-	-	-	-	-	-	-	-	-	-	-	-	-
YP_010843566.1	1147094.H6X4Y8_9CAUD	9.75e-49	193.0	4QBCA@10239|Viruses,4R0BI@35237|dsDNA viruses  no RNA stage,4QRAC@28883|Caudovirales,4QJNN@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_092912231.1	990073.ATHU01000001_gene594	2.54e-194	577.0	COG0210@1|root,COG2887@1|root,COG0210@2|Bacteria,COG2887@2|Bacteria,1QUIU@1224|Proteobacteria,42M7I@68525|delta/epsilon subdivisions,2YMX0@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	L	COG3893 inactivated superfamily I helicase	addB	-	-	-	-	-	-	-	-	-	-	-	PDDEXK_1
YP_009790378.1	1129191.K9L8K6_9CAUD	6.63e-79	279.0	4QAK6@10239|Viruses,4QUP9@35237|dsDNA viruses  no RNA stage,4QPBY@28883|Caudovirales,4QKKV@10699|Siphoviridae	10699|Siphoviridae	S	peptidoglycan catabolic process	-	-	-	-	-	-	-	-	-	-	-	-	-
YP_009966640.1	867696.E1XTI0_BPSAV	5.78e-140	436.0	4QBAC@10239|Viruses,4QYFN@35237|dsDNA viruses  no RNA stage,4QU8A@28883|Caudovirales,4QJ7D@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MBV28935.1	1238182.C882_4385	1.51e-192	581.0	COG1074@1|root,COG1074@2|Bacteria,1MUTF@1224|Proteobacteria,2TQJZ@28211|Alphaproteobacteria,2JPMW@204441|Rhodospirillales	204441|Rhodospirillales	L	Belongs to the helicase family. UvrD subfamily	addA	-	3.6.4.12	ko:K16898	-	-	-	-	ko00000,ko01000,ko03400	-	-	-	PDDEXK_1,UvrD-helicase,UvrD_C
XP_637213.1	44689.DDB0237916	0.0	1140.0	29AXN@1|root,2RI0F@2759|Eukaryota,3XHQ0@554915|Amoebozoa	554915|Amoebozoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
QMV34172.1	637730.C8XUS9_9CAUD	7.46e-56	207.0	4QFIT@10239|Viruses,4QX60@35237|dsDNA viruses  no RNA stage,4QQWB@28883|Caudovirales,4QK6J@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YP_009100442.1	1458859.A0A088C4L4_9CAUD	0.0	1277.0	4QAK6@10239|Viruses,4QUP9@35237|dsDNA viruses  no RNA stage,4QPBY@28883|Caudovirales	28883|Caudovirales	S	N-acetylmuramoyl-L-alanine amidase activity	-	GO:0005575,GO:0019012,GO:0019028,GO:0044423,GO:0098021	-	-	-	-	-	-	-	-	-	-	-
WP_064518079.1	349965.yinte0001_27080	1.42e-31	138.0	COG2755@1|root,COG2755@2|Bacteria,1N2KS@1224|Proteobacteria,1S9SP@1236|Gammaproteobacteria	1236|Gammaproteobacteria	E	lipolytic protein G-D-S-L family	-	-	-	-	-	-	-	-	-	-	-	-	-
YP_009620374.1	1224164.B843_01080	3.07e-56	201.0	COG4409@1|root,COG4409@2|Bacteria	2|Bacteria	G	exo-alpha-(2->6)-sialidase activity	-	-	-	-	-	-	-	-	-	-	-	-	ASH,BNR_2,DUF11,DUF1573,F5_F8_type_C,SASA
HBO49440.1	1236501.BAJU01000082_gene3253	1.26e-30	128.0	COG1074@1|root,COG1074@2|Bacteria,1MUTF@1224|Proteobacteria,2TQJZ@28211|Alphaproteobacteria,2JPMW@204441|Rhodospirillales	204441|Rhodospirillales	L	Belongs to the helicase family. UvrD subfamily	addA	-	3.6.4.12	ko:K16898	-	-	-	-	ko00000,ko01000,ko03400	-	-	-	PDDEXK_1,UvrD-helicase,UvrD_C
RRJ97342.1	278957.ABEA03000077_gene2271	0.0	1153.0	COG5434@1|root,COG5434@2|Bacteria,46Y9S@74201|Verrucomicrobia,3K96M@414999|Opitutae	414999|Opitutae	M	Right handed beta helix region	-	-	-	-	-	-	-	-	-	-	-	-	Beta_helix
WP_161985584.1	1458848.A0A0A7X6I2_9CAUD	4.42e-66	237.0	4QESN@10239|Viruses,4QYCK@35237|dsDNA viruses  no RNA stage,4QPHQ@28883|Caudovirales	28883|Caudovirales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_290964015.1	1504672.669782931	2.89e-134	412.0	COG3206@1|root,COG3206@2|Bacteria,1QA2F@1224|Proteobacteria,2VPIJ@28216|Betaproteobacteria	28216|Betaproteobacteria	L	protein involved in exopolysaccharide biosynthesis	-	-	-	-	-	-	-	-	-	-	-	-	YqaJ
YP_009616013.1	598467.BrE312_2690	5.97e-148	452.0	COG5434@1|root,COG5434@2|Bacteria,1RCW1@1224|Proteobacteria,1T1PI@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	Belongs to the glycosyl hydrolase 28 family	-	-	-	-	-	-	-	-	-	-	-	-	Phage_T7_tail
