Unnamed: 0,Hit,GenBankID,aln_hit,%I,P(H),E-value,Bit-Score,len(Qry),len(aln),%aln,Taxonomy,TaxID,Database,Method,TP,superkingdom,realm,kingdom,phylum,class,order,family,genus,species,GenomeID,Cluster,Representative_ID,Cluster_Identity,Rep_Synonym_ID,Synonym_Identity,Synomym_E-value,Synonym_Bit-Score,IPG_ID,IPG_Synonym,IPG_len,IPG_Function,eggNOG_Annotation,COG_Category,Reference_GenomeID,IPG_Start,IPG_Stop,IPG_Strand,IPG_Organism,Assembly,Viral_Presence,PHROG_Nr_ORF,Min_Abs_Distance_TP,Mean_Distance_TP,Median_Distance_TP,pPolB,pPolB_distance,Polymerase,Pol_distance
1888,A0A2R7SU39,,166,13.2,1.0,6.761e-05,149.0,163,134,0.822085889570552,Pseudomonas sp. HMWF005,2056842,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. HMWF005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,A0A3D1E151,DPBW01000082,155,16.7,1.0,6.761e-05,128.0,163,148,0.907975460122699,Alphaproteobacteria bacterium,1913988,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,,,,Alphaproteobacteria bacterium,DPBW01000082,150.0,A0A3D1E151,100.0,HCD79835.1,100.0,7.619999999999999e-142,404.0,207476137.0,HCD79835.1,625.0,double-strand break repair helicase AddA,,,DPCC01000156.1,3101.0,3725.0,+,Alphaproteobacteria bacterium,GCA_003516505.1,,2.0,1.0,0.0,0.0,N,,-,
1890,A0A6L9LEM2,JAAFZH010000013,181,16.5,1.0,6.761e-05,116.0,163,148,0.907975460122699,Spirosoma terrae,1968276,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Pseudomonadati,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,Spirosoma terrae,JAAFZH010000013,143.0,A0A6L9LEM2,100.0,WP_163953617.1,100.0,1.35e-150,426.0,298041770.0,WP_163953617.1,618.0,hypothetical protein,-,-,NZ_JAAFZH010000013.1,87244.0,87861.0,+,Spirosoma terrae,GCF_010435915.1,,20.0,8.0,7.15,10.5,N,,-,
1891,A0A519JCP2,SDZF01000891,166,11.4,1.0,6.761e-05,125.0,163,152,0.932515337423313,Brevundimonas sp.,1871086,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas sp.,SDZF01000891,536.0,A0A519JCP2,100.0,RZJ22171.1,100.0,0.0,610.0,233853444.0,RZJ22171.1,943.0,double-strand break repair helicase AddA,PD-(D/E)XK nuclease superfamily,L,SDZF01000891.1,1.0,943.0,+,Brevundimonas sp.,GCA_004210795.1,,1.0,1.0,1.0,1.0,N,,-,
1892,HUT45556.1,HUT45556.1,465,14.839,1.0,6.82e-05,58.3,559,428,0.765652951699463,Sedimentisphaerales bacterium,2813034,nr,PSI-BLAST,GC1,Bacteria,Bacteria,Pseudomonadati,Planctomycetota,Phycisphaerae,Sedimentisphaerales,,,Sedimentisphaerales bacterium,HUT45556.1,275.0,MBM4029085.1,73.12,MBM4029085.1,100.0,0.0,,405876204.0,MBM4029085.1,1710.0,hypothetical protein,Periplasmic copper-binding protein (NosD),M,VGYL01000918.1,601.0,2310.0,+,Planctomycetota bacterium,GCA_016872975.1,N,,,,,,,,
1893,WP_248670047.1,WP_248670047.1,286,12.937,1.0,6.93e-05,58.3,559,283,0.506261180679785,Roseomonas acroporae,2937791,nr,PSI-BLAST,GC1,Bacteria,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Roseomonadaceae,Roseomonas,Roseomonas acroporae,,1745.0,WP_248670047.1,100.0,WP_248670047.1,100.0,0.0,,549217325.0,WP_248670047.1,1309.0,glycosyl hydrolase family 28-related protein,,,NZ_JALPRX010000165.1,1.0,1309.0,-,Roseomonas acroporae,GCF_023223525.1,,7.0,1.0,6.571428571428571,7.0,N,,-,
1894,A0A8S5QG25,BK015645,199,16.5,1.0,6.997e-05,121.0,163,141,0.865030674846626,Myoviridae sp. ctn8H20,2825169,BFVD,FoldSeek,DSL-LC02,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,Myoviridae sp. ctn8H20,BK015645,928.0,A0A8S5QG25,100.0,DAE17717.1,100.0,5.6100000000000005e-160,451.0,461306019.0,DAE17717.1,669.0,hypothetical protein,,,BK015645.1,6615.0,7283.0,+,Myoviridae sp. ctn8H20,,,14.0,2.0,28.785714285714285,29.0,N,,-,
1895,MES2055957.1,MES2055957.1,251,18.327,1.0,7e-05,57.9,559,244,0.43649373881932,Pseudomonadota bacterium,1977087,nr,PSI-BLAST,GC1,Bacteria,Bacteria,Pseudomonadati,Pseudomonadota,,,,,Pseudomonadota bacterium,JAZJYE010000049.1,222.0,MES2055957.1,100.0,MES2055957.1,100.0,0.0,,863576269.0,MES2055957.1,1281.0,glycosyl hydrolase family 28-related protein,,,JAZJYE010000049.1,8883.0,10163.0,+,Pseudomonadota bacterium,GCA_040390545.1,N,,,,,,,,
1896,A0A0P0IVE3,KT367886,701,10.1,0.998,7.061e-05,94.0,559,550,0.983899821109123,Klebsiella phage Kp2,1701805,BFVD,FoldSeek,GC1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,Autographiviridae,Drulisvirus,Drulisvirus Kp2,KT367886,1361.0,A0A0P0IVE3,100.0,YP_009188367.1,100.0,0.0,1365.0,94378578.0,YP_009188367.1,1983.0,hypothetical protein,,,NC_028664.1,41633.0,43615.0,+,Klebsiella phage Kp2,GCF_001470195.1,,27.0,1.0,-19.444444444444443,-17.0,N,,phrog_9556,-37.0
1897,MDC0863121.1,MDC0863121.1,266,13.534,1.0,7.07e-05,58.3,559,259,0.463327370304114,bacterium,1869227,nr,PSI-BLAST,GC1,Bacteria,Bacteria,,,,,,,bacterium,MDC0863121.1,2115.0,MDC0863121.1,100.0,MDC0863121.1,100.0,0.0,,620912106.0,MDC0863121.1,1596.0,glycosyl hydrolase family 28-related protein,,,JAOMZF010000002.1,42599.0,44194.0,-,bacterium,GCA_028372705.1,,56.0,1.0,21.517857142857142,24.0,N,,-,
1898,A0A8S5NKI4,BK015181,175,11.4,1.0,7.101e-05,118.0,163,146,0.895705521472393,Siphoviridae sp. ctK0l2,2826243,BFVD,FoldSeek,ABV,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,Siphoviridae sp. ctK0l2,BK015181,590.0,A0A8S5NKI4,100.0,DAN40093.1,98.868,0.0,547.0,465072648.0,DAN40093.1,798.0,PD-(D/E)XK nuclease superfamily protein,,,BK022672.1,31236.0,32033.0,-,Caudoviricetes sp.,,,23.0,3.0,4.521739130434782,-3.0,N,,-,
1899,A0A352IU91,DNNA01000188,145,19.3,1.0,7.216e-05,154.0,163,127,0.779141104294479,Marinobacter adhaerens,1033846,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter adhaerens,DNNA01000188,63.0,A0A840U9H6,82.03,WP_183704065.1,100.0,0.0,1540.0,349748279.0,WP_183704065.1,2271.0,helicase C-terminal domain-containing protein,COG1199 Rad3-related DNA helicases,KL,NZ_JACHFE010000005.1,252809.0,255079.0,+,Marinobacter oulmenensis,GCF_014201735.1,,41.0,2.0,-69.2439024390244,-70.0,N,,-,
1900,M3JBV3,AOTD01000113,148,12.8,1.0,7.216e-05,137.0,163,128,0.785276073619632,Campylobacter showae CC57C,1073353,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter showae,AOTD01000113,322.0,M3JBV3,100.0,WP_107849393.1,92.49,2.26e-175,492.0,186240015.0,WP_107849393.1,762.0,PD-(D/E)XK nuclease-like domain-containing protein,,,NZ_PIQW01000001.1,35158.0,35919.0,-,Campylobacter concisus,GCF_003048445.1,,52.0,2.0,47.13461538461539,34.5,N,,-,
1901,A0A1W9PEG0,MZGI01000008,159,11.9,1.0,7.216e-05,123.0,163,143,0.877300613496933,Candidatus Cloacimonas sp. 4484_209,1968525,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Pseudomonadati,Candidatus Cloacimonadota,Candidatus Cloacimonadia,Candidatus Cloacimonadales,Candidatus Cloacimonadaceae,Candidatus Cloacimonas,Candidatus Cloacimonas sp. 4484_209,MZGI01000008,122.0,A0A1W9PEG0,100.0,OQX56572.1,100.0,0.0,1896.0,144568600.0,OQX56572.1,2757.0,DNA/RNA helicase,UvrD/REP helicase N-terminal domain,L,MZGI01000008.1,12005.0,14761.0,-,Candidatus Cloacimonas sp. 4484_209,GCA_002084915.1,N,,,,,,,,
1902,A0A521GM51,SHNJ01000035,176,17.6,1.0,7.216e-05,120.0,163,150,0.920245398773006,Alphaproteobacteria bacterium,1913988,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,,,,Alphaproteobacteria bacterium,SHNJ01000035,1501.0,A0A521GM51,100.0,TAH32265.1,100.0,0.0,2415.0,235298704.0,TAH32265.1,3537.0,double-strand break repair helicase AddA,Belongs to the helicase family. UvrD subfamily,L,SHNJ01000035.1,30966.0,34502.0,+,Alphaproteobacteria bacterium,GCA_004295055.1,,9.0,1.0,1.6666666666666667,6.0,N,,-,
1903,A0A897MUA0,CP064786,489,10.2,1.0,7.386e-05,154.0,559,417,0.745974955277281,Natranaeroarchaeum sulfidigenes,2784880,AFDB50,FoldSeek,GC1,Archaea,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Natronoarchaeaceae,Natranaeroarchaeum,Natranaeroarchaeum sulfidigenes,CP064786,2031.0,A0A897MUA0,100.0,WP_238479675.1,100.0,0.0,996.0,412376305.0,WP_238479675.1,1476.0,right-handed parallel beta-helix repeat-containing protein,,,NZ_CP064786.1,1227687.0,1229162.0,+,Natranaeroarchaeum sulfidigenes,GCF_017094485.1,,449.0,4.0,226.94877505567928,180.0,N,,-,
1904,A0A7Y0I0U1,,470,12.3,1.0,7.386e-05,157.0,559,438,0.783542039355993,Novosphingobium sp. SG900,2587005,AFDB50,FoldSeek,GC1,Bacteria,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium sp. SG900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,WP_143013597.1,WP_143013597.1,377,12.732,1.0,7.53e-05,58.3,559,345,0.617173524150268,Paenibacillus jilunlii,682956,nr,PSI-BLAST,GC1,Bacteria,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus jilunlii,,2136.0,WP_143013597.1,100.0,WP_143013597.1,100.0,0.0,,123833567.0,WP_143013597.1,1524.0,glycosyl hydrolase family 28-related protein,,,NZ_FNGM01000034.1,1.0,1524.0,-,Paenibacillus jilunlii,GCF_900102965.1,,22.0,6.0,31.77272727272728,35.5,N,,-,
1906,WP_383739622.1,WP_383739622.1,185,17.297,1.0,7.56e-05,58.7,559,175,0.313059033989266,Streptomyces sp. NPDC058466,3346512,nr,PSI-BLAST,GC1,Bacteria,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. NPDC058466,,1578.0,WP_383739622.1,100.0,WP_383739622.1,100.0,0.0,,911956241.0,WP_383739622.1,3018.0,glycosyl hydrolase family 28-related protein,Pectate lyase superfamily protein,S,NZ_JBHXMC010000013.1,119225.0,122242.0,+,Streptomyces sp. NPDC058466,GCF_042720995.1,,69.0,1.0,-29.463768115942027,-8.0,N,,-,
1907,G8EY36,JF974299,140,17.8,1.0,7.579e-05,129.0,163,119,0.730061349693252,Synechococcus phage S-CAM8,754038,BFVD,FoldSeek,ABV,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,Kyanoviridae,Neritesvirus,Neritesvirus scam8,JF974299,641.0,G8EY36,100.0,MEK9824313.1,69.928,8.48e-146,419.0,832441534.0,MEK9824313.1,840.0,PD-(D/E)XK nuclease-like domain-containing protein,,,JAYNLF010000336.1,1572.0,2411.0,+,Gammaproteobacteria bacterium,GCA_038111565.1,,2.0,1.0,-2.0,-2.0,N,,-,
1908,A0A2A4U0X5,NVTL01000047,170,17.0,1.0,7.702e-05,116.0,163,144,0.883435582822086,Rhodospirillaceae bacterium,1898112,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,Rhodospirillaceae bacterium,NVTL01000047,1489.0,A0A2A4U0X5,100.0,PCI39015.1,100.0,0.0,2371.0,161515359.0,PCI39015.1,3465.0,double-strand break repair helicase AddA,PD-(D/E)XK nuclease superfamily,L,NVTL01000047.1,10546.0,14010.0,+,Rhodospirillaceae bacterium,GCA_002401565.1,,5.0,1.0,3.2,1.0,N,,-,
1909,A0A356NXF7,DOGB01000247,156,16.6,1.0,7.702e-05,128.0,163,149,0.914110429447853,Alphaproteobacteria bacterium,1913988,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,,,,Alphaproteobacteria bacterium,DOGB01000247,150.0,A0A3D1E151,100.0,HCD79835.1,100.0,7.619999999999999e-142,404.0,207476137.0,HCD79835.1,625.0,double-strand break repair helicase AddA,,,DPCC01000156.1,3101.0,3725.0,+,Alphaproteobacteria bacterium,GCA_003516505.1,,2.0,1.0,0.0,0.0,N,,-,
1910,A0A662TV99,QMWM01000040,180,16.6,1.0,7.702e-05,152.0,163,150,0.920245398773006,archaeon,1906665,AFDB50,FoldSeek,ABV,Archaea,Archaea,,,,,,,archaeon,QMWM01000040,726.0,A0A662TV99,100.0,RLG68723.1,100.0,2.72e-139,396.0,213686660.0,RLG68723.1,582.0,CRISPR-associated protein Cas4,CRISPR-associated protein Cas4,V,QMWM01000040.1,3982.0,4563.0,+,archaeon,GCA_003661625.1,,2.0,3.0,-3.5,-3.5,N,,-,
1911,A0A6M3K452,MT142249,653,10.8,1.0,7.726e-05,127.0,559,516,0.923076923076923,viral metagenome,1070528,AFDB50,FoldSeek,GC1,,,,,,,,,viral metagenome,MT142249,1551.0,A0A6M3K452,100.0,MEN6465091.1,54.335,1.42e-49,184.0,845639072.0,MEN6465091.1,588.0,hypothetical protein,-,-,JBDKTK010000185.1,543.0,1130.0,-,Syntrophaceae bacterium,GCA_039680225.1,N,,,,,,,,
1912,A0A3T0IIR4,MK301608,683,11.1,1.0,7.726e-05,109.0,559,533,0.953488372093023,Vibrio virus vB_VspP_SBP1,2500581,BFVD,FoldSeek,GC1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,Schitoviridae,Electravirus,Electravirus Sbp1,MK301608,1521.0,A0A3T0IIR4,100.0,YP_010100757.1,100.0,0.0,1724.0,227534466.0,YP_010100757.1,2541.0,tail fiber protein,,,NC_055784.1,56249.0,58789.0,-,Vibrio virus vB_VspP_SBP1,GCF_004194215.1,,38.0,1.0,-19.81578947368421,-22.5,N,,-,
1913,A0A843HB58,JAGCAQ010000434,282,13.8,1.0,7.767e-05,165.0,266,263,0.988721804511278,Methanobrevibacter sp.,66852,AFDB50,FoldSeek,Chedec11,Archaea,Archaea,Methanobacteriati,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp.,JAGCAQ010000434,215.0,A0A843HB58,100.0,MBO7716198.1,100.0,0.0,552.0,424388901.0,MBO7716198.1,828.0,hypothetical protein,NOVRBAUE,,JAGCAQ010000434.1,347.0,1174.0,+,Methanobrevibacter sp.,GCA_017652645.1,,3.0,1.0,0.6666666666666666,1.0,Y,2.0,phrog_1907,1.0
1914,A0A1I9LP65,CP002686,452,13.0,1.0,8.107e-05,116.0,559,400,0.715563506261181,Arabidopsis thaliana,3702,AFDB-Proteome,FoldSeek,GC1,Eukaryota,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Arabidopsis,Arabidopsis thaliana,CP002686,86.0,A0A1I9LP65,100.0,NP_001326406.1,100.0,0.0,884.0,112349222.0,NP_001326406.1,2356.0,Pectin lyase-like superfamily protein,Pectate lyase superfamily protein,G,NC_003074.8,22109343.0,22111698.0,-,Arabidopsis thaliana,GCF_000001735.4,,533.0,1.0,1654.6341463414635,1950.0,N,,-,
1915,A0A7J4G2L1,DTZL01000121,132,17.4,1.0,8.221e-05,156.0,163,131,0.803680981595092,Candidatus Aenigmarchaeota archaeon,2093792,AFDB50,FoldSeek,ABV,,Archaea,Nanobdellati,,,,,,,DTZL01000121,864.0,A0A7J4G2L1,100.0,HIE41346.1,100.0,6.69e-114,329.0,320944329.0,HIE41346.1,492.0,CRISPR-associated protein Cas4,Domain of unknown function DUF83,L,DTZL01000121.1,622.0,1113.0,-,Candidatus Aenigmatarchaeota archaeon,GCA_012961335.1,N,,,,,,,,
1916,A0A846MRM0,JAASRN010000002,165,16.9,1.0,8.221e-05,133.0,163,135,0.828220858895706,Thermonema lapsum,28195,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Pseudomonadati,Bacteroidota,Cytophagia,Cytophagales,Thermonemataceae,Thermonema,Thermonema lapsum,JAASRN010000002,761.0,A0A846MRM0,100.0,WP_166919161.1,100.0,6.54e-135,384.0,309141006.0,WP_166919161.1,558.0,CRISPR-associated protein Cas4,CRISPR-associated protein Cas4,L,NZ_JAASRN010000002.1,363444.0,364001.0,+,Thermonema lapsum,GCF_011761635.1,,118.0,18.0,154.44915254237287,174.5,N,,-,
1917,A6VF53,CP000745,164,15.2,1.0,8.221e-05,164.0,163,135,0.828220858895706,Methanococcus maripaludis C7,426368,AFDB50,FoldSeek,ABV,Archaea,Archaea,Methanobacteriati,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus maripaludis,CP000745,1627.0,A6VF53,100.0,WP_011976416.1,100.0,0.0,1900.0,12949864.0,WP_011976416.1,2838.0,UvrD-helicase domain-containing protein,PD-(D/E)XK nuclease superfamily,L,NZ_JACDUL010000002.1,45446.0,48283.0,+,Methanococcus maripaludis,GCF_013760955.1,,75.0,1.0,171.12,157.0,N,,-,
1918,A0A3B9FHX1,DMAU01000176,203,13.3,1.0,8.221e-05,140.0,163,139,0.852760736196319,Alphaproteobacteria bacterium,1913988,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,,,,Alphaproteobacteria bacterium,DMAU01000176,1403.0,A0A3B9FHX1,100.0,HAE09717.1,100.0,0.0,2278.0,203127168.0,HAE09717.1,3390.0,double-strand break repair helicase AddA,PD-(D/E)XK nuclease superfamily,L,DMAU01000176.1,3720.0,7109.0,+,Alphaproteobacteria bacterium,GCA_003446405.1,,1.0,1.0,1.0,1.0,N,,-,
1919,A0A1B3SM82,CP017015,199,13.0,1.0,8.221e-05,148.0,163,142,0.871165644171779,Spiroplasma helicoides,216938,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Bacillati,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma helicoides,CP017015,370.0,A0A1B3SM82,100.0,WP_157087601.1,100.0,1.78e-161,456.0,285229198.0,WP_157087601.1,699.0,hypothetical protein,,,NZ_CP017015.1,1255885.0,1256583.0,-,Spiroplasma helicoides,GCF_001715535.1,,222.0,1.0,-552.8603603603603,-601.0,N,,-,
1920,X0TCP3,BARS01015481,163,12.2,1.0,8.221e-05,118.0,163,142,0.871165644171779,marine sediment metagenome,412755,AFDB50,FoldSeek,ABV,,,,,,,,,marine sediment metagenome,BARS01015481,1099.0,X0TCP3,100.0,WP_291811394.1,69.626,6.71e-109,322.0,665791533.0,WP_291811394.1,732.0,PD-(D/E)XK nuclease-like domain-containing protein,,,NZ_JAAXJE010000032.1,10983.0,11714.0,+,Limnobacter sp.,GCF_012270025.1,,22.0,1.0,16.227272727272727,16.5,N,,-,
1921,A0A836RHF6,DTXH01000010,163,11.6,1.0,8.221e-05,140.0,163,143,0.877300613496933,Candidatus Stahlbacteria bacterium,2528828,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,,,,,,Candidatus Stahlbacteria,Candidatus Stahlbacteria bacterium,DTXH01000010,1732.0,A0A836RHF6,100.0,HID31785.1,100.0,0.0,926.0,320840683.0,HID31785.1,1371.0,ATP-dependent helicase,UvrD/REP helicase N-terminal domain,L,DTXH01000010.1,1742.0,3112.0,-,Candidatus Stahlbacteria bacterium,GCA_012962585.1,,1.0,1.0,-1.0,-1.0,N,,-,
1922,NSW56100.1,NSW56100.1,386,15.803,1.0,8.34e-05,57.9,559,347,0.620751341681574,Armatimonadota bacterium,2033014,nr,PSI-BLAST,GC1,Bacteria,Bacteria,Bacillati,Armatimonadota,,,,,Armatimonadota bacterium,JABUFB010000008.1,1702.0,NSW56100.1,100.0,NSW56100.1,100.0,0.0,,329488137.0,NSW56100.1,1221.0,right-handed parallel beta-helix repeat-containing protein,,,JABUFB010000008.1,336756.0,337976.0,+,Armatimonadota bacterium,GCA_013314775.1,,94.0,10.0,130.11702127659575,168.0,N,,-,
1923,A0A516KW50,MK892485,446,13.6,1.0,8.453e-05,119.0,559,412,0.737030411449016,Prokaryotic dsDNA virus sp.,2591644,BFVD,FoldSeek,GC1,Viruses,,,,,,,,Prokaryotic dsDNA virus sp.,MK892485,1947.0,A0A516KW50,100.0,QDP45912.1,100.0,0.0,1150.0,261515614.0,QDP45912.1,1659.0,putative pectate lyase superfamily protein,,,MK892485.1,27929.0,29587.0,+,Prokaryotic dsDNA virus sp.,GCA_009651575.1,,24.0,2.0,-8.25,-7.5,N,,-,
1924,AUR90610.1,AUR90610.1,218,16.514,1.0,8.52e-05,58.3,559,209,0.373881932021467,Vibrio phage 1.148.O._10N.286.54.A10,1881207,nr,PSI-BLAST,GC1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,Vibrio phage 1.148.O._10N.286.54.A10,MG592517.1,314.0,A0A2I7RAD9,100.0,AUR90610.1,100.0,0.0,1250.0,176257595.0,AUR90610.1,1815.0,pectin lyase fold protein,,,MG592517.1,16778.0,18592.0,+,Vibrio phage 1.148.O._10N.286.54.A10,GCA_003928495.1,,34.0,1.0,5.941176470588236,2.0,N,,-,
1925,Q44494,L39096,579,13.4,1.0,8.622e-05,111.0,559,426,0.762075134168157,Azotobacter vinelandii,354,AFDB-SwissProt,FoldSeek,GC1,Bacteria,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter,Azotobacter vinelandii,L39096,1468.0,Q44494,100.0,WP_012703556.1,98.646,0.0,2717.0,1470261.0,WP_012703556.1,4212.0,glycosyl hydrolase family 28-related protein,COG2931 RTX toxins and related Ca2 -binding proteins,Q,NC_012560.1,5194329.0,5198540.0,-,Azotobacter vinelandii DJ,GCF_000021045.1,,741.0,1.0,-2231.0580296896087,-2197.0,N,,-,
1926,A0A516LFV1,MK892607,147,13.6,1.0,8.634e-05,109.0,163,119,0.730061349693252,Prokaryotic dsDNA virus sp.,2591644,BFVD,FoldSeek,ABV,Viruses,,,,,,,,Prokaryotic dsDNA virus sp.,MK892607,1820.0,A0A516LFV1,100.0,QDP52818.1,100.0,0.0,701.0,261522099.0,QDP52818.1,1023.0,putative exodeoxyribonuclease 8,,,MK892607.1,78724.0,79746.0,+,Prokaryotic dsDNA virus sp.,GCA_009654215.1,,20.0,2.0,-29.3,-34.0,N,,-,
1927,WP_189846202.1,WP_189846202.1,285,17.544,1.0,8.69e-05,57.9,559,268,0.479427549194991,Streptomyces pluricolorescens,37480,nr,PSI-BLAST,GC1,Bacteria,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces pluricolorescens,,17.0,HEY8985452.1,80.79,HEY8985452.1,100.0,0.0,,807664397.0,HEY8985452.1,1518.0,glycosyl hydrolase family 28-related protein,-,-,DATCQX010001001.1,25959.0,27476.0,+,Streptomyces sp.,GCA_036569285.1,,32.0,1.0,-8.03125,-9.5,N,,-,
1928,A0A496Q6V6,QNAP01000178,154,19.4,1.0,8.774e-05,120.0,163,137,0.840490797546012,Thermotogae bacterium,2053689,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Thermotogati,Thermotogota,,,,,Thermotogota bacterium,QNAP01000178,687.0,A0A496Q6V6,100.0,RKX43614.1,100.0,2.55e-130,372.0,212853166.0,RKX43614.1,540.0,CRISPR-associated protein Cas4,Domain of unknown function DUF83,V,QNAP01000178.1,1489.0,2028.0,-,Thermotogota bacterium,GCA_003641795.1,N,,,,,,,,
1929,A0A1M6V4T7,FRAU01000006,167,13.1,1.0,8.774e-05,153.0,163,142,0.871165644171779,Rhodothermus profundi,633813,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Pseudomonadati,Rhodothermota,Rhodothermia,Rhodothermales,Rhodothermaceae,Rhodothermus,Rhodothermus profundi,FRAU01000006,686.0,A0A1M6V4T7,100.0,WP_072715742.1,100.0,5.0400000000000004e-129,369.0,130449557.0,WP_072715742.1,540.0,CRISPR-associated protein Cas4,CRISPR-associated protein Cas4,L,NZ_FRAU01000006.1,11748.0,12287.0,-,Rhodothermus profundi,GCF_900142415.1,,23.0,8.0,82.78260869565217,96.0,N,,-,
1930,WP_260209577.1,WP_260209577.1,205,19.024,1.0,8.78e-05,57.5,559,203,0.363148479427549,Lactiplantibacillus pentosus,1589,nr,PSI-BLAST,GC1,Bacteria,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus pentosus,,43.0,KAE9558774.1,72.52,KAE9558774.1,100.0,0.0,,93661138.0,KAE9558774.1,1062.0,hypothetical protein,Pectate lyase superfamily protein,M,LNUB01000033.1,254887.0,255948.0,+,Companilactobacillus kimchii,GCA_009764365.1,,62.0,2.0,-124.09677419354838,-136.0,N,,-,
1931,A0A6B9LHG7,MN813685,138,15.2,1.0,9.215e-05,126.0,163,119,0.730061349693252,Gordonia phage Gudmit,2686225,BFVD,FoldSeek,ABV,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,Gordonia phage Gudmit,MN813685,1839.0,A0A6B9LHG7,100.0,QHB37274.1,100.0,0.0,801.0,287598485.0,QHB37274.1,1182.0,Cas4 family exonuclease,PDDEXK-like domain of unknown function (DUF3799),L,MN813685.1,29257.0,30438.0,+,Gordonia phage Gudmit,GCA_009860055.1,,35.0,1.0,-15.742857142857142,-21.0,N,,-,
1932,A0A8F8SMB6,MZ440852,153,14.3,0.999,9.215e-05,97.0,163,135,0.828220858895706,Pacmanvirus S19,2862371,BFVD,FoldSeek,ABV,Viruses,,,,,,,,Pacmanvirus S19,MZ440852,1737.0,A0A8F8SMB6,100.0,QYB17715.1,100.0,0.0,910.0,475643730.0,QYB17715.1,1341.0,hypothetical protein,,,MZ440852.1,344167.0,345507.0,-,Pacmanvirus S19,GCA_031259775.1,,62.0,2.0,-149.06451612903226,-141.0,N,,-,
